Transaction_ID,Order_Date,Region,Category,Product,Customer_ID,Quantity,Unit_Price,Discount,Revenue,Cost,Profit
TXN-00574,2025-01-27,West,Accessories,USB Hub,CUST-0124,6,28.73,0.0,172.38,141.2,31.18
TXN-00590,2025-01-27,West,Furniture,Bookshelf,CUST-0146,7,182.54,0.05,1213.89,789.58,424.31
TXN-00294,2025-01-28,West,Furniture,Desk,CUST-0053,1,200.71,0.05,190.67,145.13,45.54
TXN-00250,2025-01-28,West,Furniture,Filing Cabinet,CUST-0087,5,190.32,0.0,951.6,653.46,298.14
TXN-00487,2025-01-28,East,Accessories,Mouse,CUST-0126,6,83.61,0.15,426.41,312.33,114.08
TXN-00262,2025-01-30,West,Accessories,Headset,CUST-0057,3,31.31,0.1,84.54,59.79,24.75
TXN-00496,2025-02-03,North,Electronics,Laptop,CUST-0030,6,604.55,0.1,3264.57,1946.97,1317.6
TXN-00080,2025-02-04,North,Accessories,USB Hub,CUST-0005,6,138.83,0.15,708.03,420.7,287.33
TXN-00626,2025-02-04,West,Furniture,Desk,CUST-0107,4,123.96,0.15,421.46,279.99,141.47
TXN-00351,2025-02-04,East,Furniture,Office Chair,CUST-0029,6,451.44,0.05,2573.21,1720.41,852.8
TXN-00247,2025-02-04,East,Accessories,Headset,CUST-0137,2,51.34,0.15,87.28,50.71,36.57
TXN-00044,2025-02-05,South,Electronics,Tablet,CUST-0030,7,850.15,0.0,5951.05,3655.87,2295.18
TXN-00177,2025-02-05,West,Electronics,Laptop,CUST-0060,4,318.14,0.15,1081.68,724.13,357.55
TXN-00171,2025-02-05,West,Accessories,Headset,CUST-0118,7,33.53,0.0,234.71,167.22,67.49
TXN-00737,2025-02-06,East,Office Supplies,Printer Paper,CUST-0030,5,64.63,0.0,323.15,261.63,61.52
TXN-00346,2025-02-06,East,Accessories,Headset,CUST-0061,2,48.18,0.05,91.54,62.77,28.77
TXN-00414,2025-02-06,West,Office Supplies,Notebook,CUST-0011,6,50.83,0.15,259.23,185.76,73.47
TXN-00591,2025-02-07,East,Office Supplies,Notebook,CUST-0004,3,51.17,0.05,145.83,93.91,51.92
TXN-00079,2025-02-07,East,Office Supplies,Printer Paper,CUST-0076,7,77.48,0.15,461.01,376.9,84.11
TXN-00685,2025-02-08,East,Office Supplies,Pen Set,CUST-0138,3,47.59,0.0,142.77,104.47,38.3
TXN-00660,2025-02-08,North,Furniture,Filing Cabinet,CUST-0015,6,447.4,0.15,2281.74,1634.57,647.17
TXN-00610,2025-02-08,East,Furniture,Desk,CUST-0103,2,425.17,0.1,765.31,532.34,232.97
TXN-00241,2025-02-08,North,Office Supplies,Pen Set,CUST-0120,5,70.94,0.1,319.23,185.14,134.09
TXN-00341,2025-02-10,South,Furniture,Filing Cabinet,CUST-0110,5,163.69,0.1,736.6,411.0,325.6
TXN-00619,2025-02-11,East,Furniture,Filing Cabinet,CUST-0125,1,134.54,0.0,134.54,76.81,57.73
TXN-00585,2025-02-11,East,Accessories,Mouse,CUST-0117,1,138.54,0.0,138.54,113.43,25.11
TXN-00524,2025-02-11,South,Electronics,Tablet,CUST-0022,6,223.36,0.0,1340.16,1042.6,297.56
TXN-00748,2025-02-12,South,Furniture,Desk,CUST-0050,6,105.17,0.0,631.02,416.06,214.96
TXN-00532,2025-02-12,East,Electronics,Laptop,CUST-0149,5,405.87,0.05,1927.88,1418.88,509.0
TXN-00422,2025-02-13,West,Accessories,Mouse,CUST-0128,5,73.56,0.0,367.8,255.09,112.71
TXN-00230,2025-02-13,North,Furniture,Filing Cabinet,CUST-0011,3,355.85,0.1,960.8,642.86,317.94
TXN-00421,2025-02-13,East,Office Supplies,Stapler,CUST-0122,7,13.53,0.15,80.5,59.08,21.42
TXN-00295,2025-02-13,East,Electronics,Monitor,CUST-0131,6,354.16,0.05,2018.71,1335.75,682.96
TXN-00722,2025-02-15,North,Office Supplies,Notebook,CUST-0063,1,33.65,0.1,30.28,19.79,10.49
TXN-00056,2025-02-15,East,Electronics,Monitor,CUST-0109,2,479.98,0.05,911.96,714.83,197.13
TXN-00242,2025-02-15,South,Furniture,Filing Cabinet,CUST-0088,5,239.77,0.15,1019.02,565.41,453.61
TXN-00303,2025-02-16,East,Electronics,Monitor,CUST-0015,2,676.87,0.15,1150.68,674.59,476.09
TXN-00077,2025-02-16,North,Furniture,Desk,CUST-0010,6,144.83,0.0,868.98,564.57,304.41
TXN-00093,2025-02-18,East,Electronics,Keyboard,CUST-0141,1,287.04,0.0,287.04,181.09,105.95
TXN-00201,2025-02-18,West,Furniture,Filing Cabinet,CUST-0140,6,483.13,0.05,2753.84,2108.49,645.35
TXN-00228,2025-02-18,West,Accessories,Webcam,CUST-0079,5,100.7,0.15,427.98,249.98,178.0
TXN-00629,2025-02-18,North,Furniture,Filing Cabinet,CUST-0041,6,367.97,0.1,1987.04,1521.3,465.74
TXN-00572,2025-02-18,South,Furniture,Bookshelf,CUST-0126,6,198.57,0.0,1191.42,877.8,313.62
TXN-00491,2025-02-19,West,Accessories,Webcam,CUST-0077,6,47.3,0.15,241.23,172.41,68.82
TXN-00006,2025-02-19,West,Accessories,Headset,CUST-0014,6,174.98,0.05,997.39,669.68,327.71
TXN-00218,2025-02-20,North,Office Supplies,Printer Paper,CUST-0005,3,68.62,0.0,205.86,137.41,68.45
TXN-00547,2025-02-20,West,Office Supplies,Pen Set,CUST-0143,3,14.35,0.1,38.74,28.42,10.32
TXN-00060,2025-02-20,North,Electronics,Keyboard,CUST-0118,6,812.32,0.1,4386.53,3207.98,1178.55
TXN-00098,2025-02-20,North,Accessories,Webcam,CUST-0142,2,148.13,0.15,251.82,165.51,86.31
TXN-00555,2025-02-20,South,Accessories,USB Hub,CUST-0057,5,94.78,0.1,426.51,324.75,101.76
TXN-00026,2025-02-20,South,Accessories,Webcam,CUST-0048,3,96.27,0.0,288.81,176.8,112.01
TXN-00089,2025-02-20,North,Furniture,Filing Cabinet,CUST-0057,1,269.35,0.05,255.88,153.61,102.27
TXN-00386,2025-02-21,East,Electronics,Keyboard,CUST-0110,3,889.42,0.1,2401.43,1838.39,563.04
TXN-00169,2025-02-21,South,Office Supplies,Notebook,CUST-0132,7,14.45,0.05,96.09,59.92,36.17
TXN-00162,2025-02-22,West,Electronics,Laptop,CUST-0013,2,430.97,0.0,861.94,568.76,293.18
TXN-00608,2025-02-22,East,Furniture,Office Chair,CUST-0093,7,487.19,0.1,3069.3,2297.98,771.32
TXN-00639,2025-02-22,South,Office Supplies,Pen Set,CUST-0085,2,59.48,0.05,113.01,74.89,38.12
TXN-00433,2025-02-23,East,Office Supplies,Pen Set,CUST-0048,1,60.64,0.0,60.64,46.24,14.4
TXN-00367,2025-02-23,West,Accessories,USB Hub,CUST-0080,3,158.33,0.05,451.24,309.96,141.28
TXN-00283,2025-02-24,East,Furniture,Office Chair,CUST-0019,7,174.93,0.0,1224.51,744.44,480.07
TXN-00096,2025-02-24,East,Office Supplies,Pen Set,CUST-0135,2,37.43,0.15,63.63,49.42,14.21
TXN-00069,2025-02-25,South,Furniture,Desk,CUST-0003,4,274.26,0.15,932.48,546.38,386.1
TXN-00403,2025-02-25,South,Furniture,Desk,CUST-0088,6,427.28,0.1,2307.31,1529.79,777.52
TXN-00525,2025-02-25,East,Office Supplies,Notebook,CUST-0129,4,11.08,0.05,42.1,24.04,18.06
TXN-00289,2025-02-25,West,Office Supplies,Notebook,CUST-0023,1,35.91,0.15,30.52,22.36,8.16
TXN-00663,2025-02-26,East,Electronics,Monitor,CUST-0033,6,561.07,0.05,3198.1,2182.33,1015.77
TXN-00036,2025-02-27,South,Electronics,Tablet,CUST-0069,2,352.65,0.0,705.3,569.75,135.55
TXN-00398,2025-02-27,West,Furniture,Bookshelf,CUST-0016,5,336.18,0.0,1680.9,1136.92,543.98
TXN-00623,2025-02-28,North,Office Supplies,Printer Paper,CUST-0069,7,50.75,0.1,319.73,254.55,65.18
TXN-00337,2025-02-28,West,Furniture,Office Chair,CUST-0149,4,124.48,0.05,473.02,380.09,92.93
TXN-00534,2025-03-03,East,Accessories,Mouse,CUST-0022,6,100.35,0.0,602.1,386.9,215.2
TXN-00636,2025-03-03,East,Furniture,Filing Cabinet,CUST-0041,1,460.56,0.05,437.53,248.92,188.61
TXN-00009,2025-03-04,East,Office Supplies,Notebook,CUST-0072,3,74.69,0.15,190.46,149.14,41.32
TXN-00435,2025-03-04,West,Accessories,USB Hub,CUST-0090,5,52.3,0.0,261.5,150.01,111.49
TXN-00091,2025-03-04,West,Electronics,Monitor,CUST-0108,3,844.53,0.15,2153.55,1315.05,838.5
TXN-00140,2025-03-05,North,Electronics,Keyboard,CUST-0033,5,232.16,0.15,986.68,717.7,268.98
TXN-00390,2025-03-06,East,Office Supplies,Stapler,CUST-0018,2,38.14,0.0,76.28,49.1,27.18
TXN-00194,2025-03-06,North,Electronics,Monitor,CUST-0139,2,633.1,0.0,1266.2,733.93,532.27
TXN-00239,2025-03-07,East,Accessories,USB Hub,CUST-0067,4,178.64,0.1,643.1,402.2,240.9
TXN-00062,2025-03-07,East,Office Supplies,Stapler,CUST-0052,6,51.78,0.1,279.61,186.81,92.8
TXN-00620,2025-03-08,South,Electronics,Monitor,CUST-0103,6,739.36,0.05,4214.35,3168.48,1045.87
TXN-00700,2025-03-08,South,Electronics,Tablet,CUST-0042,5,779.9,0.0,3899.5,2874.78,1024.72
TXN-00593,2025-03-09,East,Accessories,Mouse,CUST-0140,1,132.34,0.05,125.72,79.65,46.07
TXN-00655,2025-03-10,East,Office Supplies,Notebook,CUST-0011,2,54.45,0.15,92.56,64.32,28.24
TXN-00342,2025-03-10,East,Accessories,Headset,CUST-0138,3,126.02,0.05,359.16,233.63,125.53
TXN-00571,2025-03-10,South,Furniture,Office Chair,CUST-0090,7,129.66,0.05,862.24,680.11,182.13
TXN-00331,2025-03-10,South,Accessories,Webcam,CUST-0033,1,69.86,0.05,66.37,40.18,26.19
TXN-00729,2025-03-12,East,Furniture,Desk,CUST-0042,4,260.15,0.1,936.54,596.16,340.38
TXN-00456,2025-03-13,East,Electronics,Keyboard,CUST-0016,4,249.58,0.0,998.32,572.7,425.62
TXN-00402,2025-03-13,East,Furniture,Filing Cabinet,CUST-0085,1,163.93,0.1,147.54,111.93,35.61
TXN-00163,2025-03-14,North,Electronics,Tablet,CUST-0082,1,258.56,0.1,232.7,178.74,53.96
TXN-00568,2025-03-15,East,Electronics,Tablet,CUST-0146,6,403.42,0.05,2299.49,1874.99,424.5
TXN-00631,2025-03-15,East,Electronics,Laptop,CUST-0125,5,352.32,0.05,1673.52,1332.62,340.9
TXN-00624,2025-03-16,South,Furniture,Bookshelf,CUST-0101,1,317.13,0.1,285.42,224.7,60.72
TXN-00023,2025-03-16,North,Accessories,USB Hub,CUST-0128,6,170.12,0.0,1020.72,562.79,457.93
TXN-00507,2025-03-16,South,Electronics,Monitor,CUST-0112,3,865.72,0.15,2207.59,1733.48,474.11
TXN-00485,2025-03-17,East,Electronics,Monitor,CUST-0045,7,431.96,0.05,2872.53,2325.7,546.83
TXN-00372,2025-03-18,South,Furniture,Desk,CUST-0031,3,376.87,0.15,961.02,613.32,347.7
TXN-00546,2025-03-19,West,Office Supplies,Printer Paper,CUST-0117,4,72.61,0.15,246.87,191.91,54.96
TXN-00191,2025-03-21,West,Accessories,Mouse,CUST-0124,4,51.43,0.0,205.72,147.8,57.92
TXN-00516,2025-03-22,East,Electronics,Laptop,CUST-0066,5,842.9,0.0,4214.5,3298.94,915.56
TXN-00368,2025-03-22,South,Furniture,Desk,CUST-0061,4,269.33,0.05,1023.45,754.22,269.23
TXN-00309,2025-03-22,East,Accessories,USB Hub,CUST-0104,2,16.49,0.0,32.98,21.5,11.48
TXN-00731,2025-03-23,North,Furniture,Desk,CUST-0024,1,446.79,0.1,402.11,314.39,87.72
TXN-00711,2025-03-23,North,Office Supplies,Pen Set,CUST-0113,3,27.33,0.1,73.79,49.04,24.75
TXN-00606,2025-03-23,East,Electronics,Keyboard,CUST-0119,6,601.23,0.15,3066.27,1774.79,1291.48
TXN-00714,2025-03-24,South,Electronics,Tablet,CUST-0103,1,788.77,0.0,788.77,592.96,195.81
TXN-00222,2025-03-25,South,Furniture,Bookshelf,CUST-0148,1,212.38,0.1,191.14,106.25,84.89
TXN-00617,2025-03-25,North,Furniture,Office Chair,CUST-0014,6,246.57,0.15,1257.51,886.1,371.41
TXN-00551,2025-03-26,South,Electronics,Keyboard,CUST-0011,2,703.89,0.15,1196.61,764.23,432.38
TXN-00699,2025-03-26,North,Office Supplies,Notebook,CUST-0071,2,46.16,0.1,83.09,65.71,17.38
TXN-00579,2025-03-26,South,Electronics,Laptop,CUST-0063,1,213.88,0.15,181.8,121.02,60.78
TXN-00675,2025-03-27,North,Accessories,USB Hub,CUST-0115,4,25.18,0.15,85.61,56.5,29.11
TXN-00224,2025-03-28,South,Electronics,Keyboard,CUST-0117,1,514.03,0.0,514.03,285.77,228.26
TXN-00653,2025-03-28,North,Electronics,Laptop,CUST-0127,5,787.81,0.15,3348.19,2652.88,695.31
TXN-00472,2025-03-28,South,Electronics,Monitor,CUST-0033,6,614.4,0.05,3502.08,2811.13,690.95
TXN-00467,2025-03-28,North,Furniture,Bookshelf,CUST-0052,6,163.01,0.15,831.35,587.82,243.53
TXN-00170,2025-03-31,North,Furniture,Bookshelf,CUST-0042,7,156.2,0.15,929.39,710.26,219.13
TXN-00673,2025-03-31,East,Office Supplies,Pen Set,CUST-0137,2,64.39,0.05,122.34,68.19,54.15
TXN-00735,2025-04-01,North,Furniture,Desk,CUST-0137,6,470.57,0.15,2399.91,1539.77,860.14
TXN-00373,2025-04-01,West,Electronics,Monitor,CUST-0149,3,898.29,0.0,2694.87,2181.53,513.34
TXN-00275,2025-04-02,East,Office Supplies,Stapler,CUST-0081,7,22.43,0.15,133.46,73.52,59.94
TXN-00607,2025-04-02,North,Office Supplies,Notebook,CUST-0047,4,16.09,0.15,54.71,36.66,18.05
TXN-00142,2025-04-02,West,Electronics,Monitor,CUST-0150,2,415.05,0.0,830.1,641.35,188.75
TXN-00680,2025-04-03,South,Accessories,Webcam,CUST-0100,2,161.64,0.0,323.28,212.8,110.48
TXN-00719,2025-04-03,West,Electronics,Monitor,CUST-0149,5,607.43,0.15,2581.58,1668.15,913.43
TXN-00713,2025-04-04,East,Electronics,Tablet,CUST-0023,2,785.6,0.15,1335.52,1064.53,270.99
TXN-00484,2025-04-04,North,Electronics,Laptop,CUST-0063,1,216.7,0.0,216.7,146.98,69.72
TXN-00723,2025-04-04,East,Accessories,Webcam,CUST-0084,6,88.65,0.0,531.9,378.19,153.71
TXN-00475,2025-04-05,South,Office Supplies,Pen Set,CUST-0025,3,65.58,0.15,167.23,134.21,33.02
TXN-00444,2025-04-05,North,Electronics,Tablet,CUST-0108,4,320.41,0.05,1217.56,954.2,263.36
TXN-00371,2025-04-06,East,Office Supplies,Notebook,CUST-0104,4,31.26,0.1,112.54,77.52,35.02
TXN-00389,2025-04-06,South,Electronics,Keyboard,CUST-0145,6,742.0,0.15,3784.2,2579.75,1204.45
TXN-00428,2025-04-06,West,Office Supplies,Pen Set,CUST-0150,1,56.32,0.05,53.5,31.34,22.16
TXN-00518,2025-04-07,North,Accessories,USB Hub,CUST-0070,4,132.32,0.05,502.82,291.57,211.25
TXN-00227,2025-04-08,West,Accessories,Webcam,CUST-0063,5,33.47,0.1,150.62,101.52,49.1
TXN-00114,2025-04-08,East,Electronics,Tablet,CUST-0141,2,701.83,0.0,1403.66,1022.77,380.89
TXN-00021,2025-04-09,East,Accessories,USB Hub,CUST-0037,2,179.38,0.05,340.82,270.01,70.81
TXN-00271,2025-04-09,West,Furniture,Filing Cabinet,CUST-0101,6,340.68,0.15,1737.47,1355.56,381.91
TXN-00457,2025-04-09,West,Furniture,Bookshelf,CUST-0029,1,280.11,0.15,238.09,174.8,63.29
TXN-00432,2025-04-09,East,Office Supplies,Notebook,CUST-0042,5,27.05,0.05,128.49,102.81,25.68
TXN-00326,2025-04-10,West,Accessories,USB Hub,CUST-0132,4,16.88,0.05,64.14,45.94,18.2
TXN-00640,2025-04-10,West,Accessories,Headset,CUST-0098,4,136.45,0.15,463.93,333.07,130.86
TXN-00677,2025-04-10,West,Electronics,Monitor,CUST-0070,2,700.6,0.05,1331.14,740.03,591.11
TXN-00676,2025-04-11,North,Furniture,Desk,CUST-0067,1,197.32,0.05,187.45,129.77,57.68
TXN-00459,2025-04-12,East,Electronics,Tablet,CUST-0042,5,665.07,0.0,3325.35,2592.07,733.28
TXN-00141,2025-04-12,North,Accessories,Webcam,CUST-0086,6,109.2,0.1,589.68,403.75,185.93
TXN-00001,2025-04-13,West,Electronics,Tablet,CUST-0100,3,741.38,0.1,2001.73,1569.09,432.64
TXN-00143,2025-04-13,South,Furniture,Bookshelf,CUST-0061,2,416.25,0.0,832.5,671.76,160.74
TXN-00088,2025-04-14,West,Office Supplies,Pen Set,CUST-0031,4,74.42,0.05,282.8,214.43,68.37
TXN-00083,2025-04-14,East,Office Supplies,Stapler,CUST-0033,6,32.11,0.1,173.39,136.5,36.89
TXN-00707,2025-04-14,North,Office Supplies,Stapler,CUST-0135,6,14.82,0.1,80.03,63.61,16.42
TXN-00736,2025-04-15,West,Furniture,Desk,CUST-0016,4,85.28,0.1,307.01,187.98,119.03
TXN-00150,2025-04-15,West,Furniture,Office Chair,CUST-0125,2,446.84,0.05,849.0,694.38,154.62
TXN-00391,2025-04-16,East,Office Supplies,Stapler,CUST-0077,7,72.05,0.1,453.92,313.72,140.2
TXN-00521,2025-04-16,East,Accessories,Headset,CUST-0078,6,157.38,0.0,944.28,699.45,244.83
TXN-00600,2025-04-17,East,Office Supplies,Stapler,CUST-0012,4,57.89,0.0,231.56,133.89,97.67
TXN-00415,2025-04-18,West,Office Supplies,Printer Paper,CUST-0103,5,75.56,0.05,358.91,274.3,84.61
TXN-00353,2025-04-18,South,Furniture,Desk,CUST-0115,6,88.03,0.05,501.77,292.43,209.34
TXN-00454,2025-04-19,East,Accessories,Webcam,CUST-0032,3,68.25,0.15,174.04,107.68,66.36
TXN-00293,2025-04-19,East,Electronics,Laptop,CUST-0149,2,464.21,0.05,882.0,638.66,243.34
TXN-00627,2025-04-19,West,Electronics,Laptop,CUST-0066,4,300.13,0.0,1200.52,778.89,421.63
TXN-00530,2025-04-19,East,Accessories,Webcam,CUST-0078,1,98.84,0.05,93.9,61.32,32.58
TXN-00316,2025-04-19,North,Accessories,Mouse,CUST-0129,3,75.12,0.05,214.09,172.13,41.96
TXN-00499,2025-04-19,South,Electronics,Tablet,CUST-0042,1,813.42,0.0,813.42,447.59,365.83
TXN-00315,2025-04-19,West,Office Supplies,Stapler,CUST-0116,7,38.2,0.05,254.03,200.68,53.35
TXN-00252,2025-04-19,North,Office Supplies,Pen Set,CUST-0113,6,22.9,0.05,130.53,101.89,28.64
TXN-00296,2025-04-21,South,Electronics,Keyboard,CUST-0084,6,372.01,0.05,2120.46,1554.16,566.3
TXN-00070,2025-04-21,East,Furniture,Bookshelf,CUST-0028,7,444.23,0.15,2643.17,1645.89,997.28
TXN-00380,2025-04-22,North,Office Supplies,Stapler,CUST-0094,3,57.37,0.15,146.29,99.75,46.54
TXN-00458,2025-04-22,East,Electronics,Tablet,CUST-0019,4,272.39,0.0,1089.56,835.81,253.75
TXN-00074,2025-04-22,West,Furniture,Bookshelf,CUST-0036,6,152.82,0.1,825.23,457.94,367.29
TXN-00312,2025-04-23,East,Office Supplies,Printer Paper,CUST-0114,6,35.82,0.05,204.17,148.49,55.68
TXN-00632,2025-04-24,South,Electronics,Tablet,CUST-0075,6,697.96,0.0,4187.76,2411.32,1776.44
TXN-00411,2025-04-26,South,Electronics,Monitor,CUST-0025,5,562.65,0.15,2391.26,1789.02,602.24
TXN-00440,2025-04-26,East,Office Supplies,Notebook,CUST-0022,4,36.58,0.05,139.0,96.53,42.47
TXN-00670,2025-04-26,South,Furniture,Desk,CUST-0053,5,356.74,0.05,1694.52,1173.59,520.93
TXN-00694,2025-04-28,West,Office Supplies,Notebook,CUST-0035,2,37.84,0.0,75.68,47.47,28.21
TXN-00541,2025-04-28,East,Furniture,Desk,CUST-0144,4,434.92,0.05,1652.7,936.88,715.82
TXN-00259,2025-04-28,North,Electronics,Tablet,CUST-0040,4,303.73,0.1,1093.43,759.03,334.4
TXN-00263,2025-04-28,West,Accessories,Mouse,CUST-0148,7,22.39,0.0,156.73,100.84,55.89
TXN-00464,2025-04-28,West,Office Supplies,Pen Set,CUST-0028,1,34.64,0.0,34.64,20.18,14.46
